"","title","title_type","genre","runtime","mpaa_rating","studio","thtr_rel_year","thtr_rel_month","thtr_rel_day","dvd_rel_year","dvd_rel_month","dvd_rel_day","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_rating","audience_score","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","top200_box","director","actor1","actor2","actor3","actor4","actor5"
"196","Caveman","Feature Film","Action & Adventure",91,"PG",NA,1981,4,17,2002,6,4,5.7,5564,"Rotten",24,"Spilled",55,"no","no","no","no","no","no","Carl Gottlieb","Ringo Starr","Dennis Quaid","Shelley Long","Jack Gilford","John Matuszak"
"197","V for Vendetta","Feature Film","Drama",132,"R","Warner Bros. Pictures",2006,3,17,2006,8,1,8.2,753592,"Certified Fresh",73,"Upright",90,"no","no","no","yes","no","no","James McTeigue","Natalie Portman","Hugo Weaving","Stephen Rea","John Hurt","Stephen Fry"
"198","One on One","Feature Film","Drama",98,"PG","Warner Bros.",1977,6,28,2009,3,23,6.4,1141,"Fresh",83,"Upright",75,"no","no","no","no","no","no","Lamont Johnson","Robby Benson","Annette O'Toole","G.D. Spradlin","Gail Strickland","Melanie Griffith"
"199","Flesh And Bone","Feature Film","Drama",126,"R","Paramount Home Video",1993,11,5,2002,4,16,6.2,3967,"Fresh",67,"Spilled",40,"no","no","no","yes","no","no","Steve Kloves","Dennis Quaid","Meg Ryan","James Caan","Gwyneth Paltrow","Jerry Swindall"
"200","Mission: Impossible","Feature Film","Mystery & Suspense",110,"PG-13","Paramount Pictures",1996,5,22,1998,1,17,7.1,287476,"Fresh",63,"Upright",71,"no","no","yes","no","no","yes","Brian DePalma","Tom Cruise","Jon Voight","Henry Czerny","Jean Reno","Ving Rhames"
"201","A Time to Kill","Feature Film","Mystery & Suspense",149,"R","Warner Home Video",1996,7,24,1997,8,22,7.4,94983,"Fresh",67,"Upright",86,"no","no","yes","yes","no","no","Joel Schumacher","Matthew McConaughey","Samuel L. Jackson","Sandra Bullock","Kevin Spacey","Brenda Fricker"
"202","Knightriders","Feature Film","Drama",146,"R","Laurel Entertainment",1981,1,1,2000,7,11,6.4,3138,"Fresh",82,"Upright",61,"no","no","no","no","no","no","George A. Romero","Ed Harris","Gary Lahti","Tom Savini","Amy Ingersoll","Patricia Tallman"
"203","The Company You Keep","Feature Film","Mystery & Suspense",125,"R","Sony Pictures Classics",2013,4,5,2013,8,13,6.4,25264,"Rotten",55,"Spilled",45,"no","no","no","yes","yes","no","Robert Redford","Robert Redford","Shia LaBeouf","Julie Christie","Susan Sarandon","Nick Nolte"
"204","Madea Goes to Jail","Feature Film","Drama",103,"PG-13","Lionsgate",2009,2,20,2009,6,16,4.1,9424,"Rotten",29,"Upright",70,"no","no","no","no","no","no","Tyler Perry","Tyler Perry","Derek Luke","Keshia Knight Pulliam","Ion Overman","Sofia Vergara"
"205","Every Which Way But Loose","Feature Film","Action & Adventure",114,"PG","Warner Bros. Pictures",1978,12,20,2002,5,7,6.2,16681,"Rotten",31,"Spilled",56,"no","no","no","no","no","no","James Fargo","Clint Eastwood","Sondra Locke","Geoffrey Lewis","Beverly D'Angelo","Ruth Gordon"
"206","Strictly Business","Feature Film","Drama",83,"PG-13","Warner Home Video",1991,11,8,2007,9,18,5.3,1308,"Rotten",10,"Spilled",56,"no","no","no","no","no","no","Rolando Hudson","Tommy Davidson","Joseph C. Phillips","Anne-Marie Johnson","David Marshall Grant","Jon Cypher"
"207","Beverly Hills Cop","Feature Film","Action & Adventure",105,"R","Paramount Pictures",1984,12,1,2002,1,29,7.3,121245,"Certified Fresh",83,"Upright",81,"no","no","no","no","no","yes","Martin Brest","Eddie Murphy","Judge Reinhold","John Ashton","Lisa Eilbacher","Lisa Eichhorn"
"208","The Raven","Feature Film","Mystery & Suspense",110,"R","Relativity Media",2012,4,27,2012,10,9,6.4,71112,"Rotten",22,"Spilled",46,"no","no","no","no","no","no","James McTeigue","Luke Evans","John Cusack","Brendan Gleeson","Alice Eve","Oliver Jackson-Cohen"
"209","Nick and Norah's Infinite Playlist","Feature Film","Comedy",90,"PG-13","Sony Pictures/Screen Gems",2008,10,3,2009,2,3,6.7,72295,"Fresh",74,"Upright",65,"no","no","no","no","no","no","Peter Sollett","Michael Cera","Kat Dennings","Alexis Dziena","Ari Graynor","Aaron Yoo"
"210","The Sum of All Fears","Feature Film","Drama",124,"PG-13","Paramount Pictures",2002,5,31,2002,10,29,6.4,84191,"Rotten",59,"Spilled",49,"no","no","no","no","no","no","Phil Alden Robinson","Ben Affleck","Morgan Freeman","James Cromwell","Liev Schreiber","Bridget Moynahan"
"211","The Interview","Feature Film","Comedy",112,"R","Sony Pictures",2014,12,25,2015,2,17,6.6,235529,"Rotten",51,"Spilled",48,"no","no","no","no","no","no","Seth Rogen","James Franco","Seth Rogen","Lizzy Caplan","Randall Park","Diana Bang"
"212","Let the Right One In","Feature Film","Drama",115,"R","Magnet/Magnolia Pictures",2008,1,26,2009,3,10,8,168032,"Certified Fresh",98,"Upright",90,"no","no","no","no","no","no","Tomas Alfredson","Kare Hedebrant","Lina Leandersson","Per Ragnar","Henrik Dahl","Karin Bergquist"
"213","Volcano","Feature Film","Drama",104,"PG-13","Twentieth Century Fox Home Entertainment",1997,4,25,2001,12,18,5.4,56329,"Rotten",44,"Spilled",31,"no","no","no","no","no","no","Mick Jackson","Tommy Lee Jones","Anne Heche","Don Cheadle","Jacqueline Kim","Keith David"
"214","Nostalgia for the Light","Documentary","Documentary",90,"Unrated","Icarus Films",2011,3,18,2011,9,13,7.6,2849,"Certified Fresh",100,"Upright",84,"no","no","no","no","no","no","Patricio Guzman","Gaspar Galaz","Lautaro Nunez de Arco","Luis Henriquez","Miguel Lawner","Victor Gonzalez"
"215","Where the Heart Is","Feature Film","Drama",120,"PG-13","Twentieth Century Fox Home Entertainment",2000,4,28,2000,9,26,6.8,26360,"Rotten",35,"Upright",77,"no","no","no","yes","no","no","Matt Williams","Natalie Portman","Ashley Judd","Sally Field","Stockard Channing","Joan Cusack"
"216","The Darwin Awards","Feature Film","Drama",94,"R","Blumhouse",2006,7,5,2007,7,31,5.9,8521,"Rotten",25,"Spilled",45,"no","no","no","no","no","no","Finn Taylor","Joseph Fiennes","Winona Ryder","Chris Penn","Wilmer Valderrama","Tim Blake Nelson"
"217","Kick-Ass 2","Feature Film","Action & Adventure",103,"R","Universal Pictures",2013,8,16,2013,12,17,6.6,191935,"Rotten",30,"Spilled",58,"no","no","no","no","no","no","Jeff Wadlow","Aaron Taylor-Johnson","Christopher Mintz-Plasse","Chloe Grace Moretz","John Leguizamo","Donald Faison"
"218","Hotel Terminus: The Life and Times of Klaus Barbie","Documentary","Documentary",267,"Unrated","SnagFilms",1988,11,1,2010,10,26,7.8,872,"Fresh",100,"Upright",73,"no","no","no","no","no","no","Marcel Ophuls","Claude Lanzmann","Jeanne Moreau","Johannes Schneider-Merck","Klaus Barbie","Marcel Cruat"
"219","Jade","Feature Film","Drama",95,"R","Paramount",1995,10,13,1999,2,16,5.1,8999,"Rotten",14,"Spilled",27,"no","no","no","no","yes","no","William Friedkin","David Caruso","Linda Fiorentino","Chazz Palminteri","Michael Biehn","Richard Crenna"
"220","Lethal Weapon","Feature Film","Drama",110,"R","Warner Bros. Pictures",1987,3,6,2000,6,6,7.6,184656,"Certified Fresh",84,"Upright",85,"no","no","no","no","no","no","Richard Donner","Mel Gibson","Danny Glover","Gary Busey","Darlene Love","Mitchell Ryan"
"221","Closet Land","Feature Film","Mystery & Suspense",89,"R","Media Home Entertainment",1991,3,6,1991,9,12,7.2,2098,"Rotten",44,"Upright",86,"no","no","no","no","no","no","Radha Bharadwaj","Madeleine Stowe","Alan Rickman",NA,NA,NA
"222","Cast Away","Feature Film","Drama",143,"PG-13","20th Century Fox",2000,12,22,2001,6,12,7.7,375820,"Certified Fresh",90,"Upright",83,"no","no","yes","yes","yes","yes","Robert Zemeckis","Tom Hanks","Helen Hunt","Nick Searcy","Chris Noth","Lari White"
"223","Crocodile Dundee in Los Angeles","Feature Film","Action & Adventure",92,"PG","Paramount",2001,4,20,2001,9,18,4.8,19187,"Rotten",11,"Spilled",25,"no","no","no","no","no","no","Simon Wincer","Paul Hogan","Linda Kozlowski","Jere Burns","Alec Wilson","Gerry Skilton"
"224","Motorama","Feature Film","Drama",90,"R","Sony Pictures Home Entertainment",1992,3,28,2001,12,18,6.4,1406,"Fresh",60,"Upright",61,"no","no","no","no","no","no","Barry Shils","Jordan Christopher Michael","Sandy Baron","Mary Woronov","Meat Loaf","Drew Barrymore"
"225","Lost and Delirious","Feature Film","Drama",103,"R","Lions Gate Releasing",2001,7,20,2001,12,11,7,16755,"Rotten",51,"Upright",78,"no","no","no","no","no","no","Lea Pool","Piper Perabo","Jessica Pare","Mischa Barton","Jackie Burroughs","Eleanor Bannet"
"226","Antiviral","Feature Film","Drama",108,"Unrated","IFC",2013,4,12,2013,8,6,5.6,9003,"Fresh",64,"Spilled",40,"no","no","no","no","no","no","Brandon Cronenberg","Caleb Landry Jones","Sarah Gadon","Douglas Smith","Joe Pingue","Malcolm McDowell"
"227","Class Action","Feature Film","Mystery & Suspense",110,"R","Twentieth Century Fox Home Entertainment",1991,3,15,2005,2,1,6.3,5014,"Fresh",75,"Spilled",51,"no","no","yes","no","no","no","Michael Apted","Gene Hackman","Mary Elizabeth Mastrantonio","Colin Friels","Joanna Merlin","Laurence Fishburne"
"228","The Pit and the Pendulum","Feature Film","Horror",97,"R","MGM",1991,6,27,2000,3,14,6.1,2818,"Rotten",56,"Spilled",40,"no","no","no","no","no","no","Stuart Gordon","Lance Henriksen","Rona De Ricci","Jonathan Fuller","Frances Bay","Jeffrey Combs"
"229","Man on Wire","Documentary","Documentary",94,"PG-13","Magnolia Pictures",2008,1,22,2008,12,9,7.9,38076,"Certified Fresh",100,"Upright",87,"no","no","no","no","no","no","James Marsh","Philippe Petit","Alan Welner","Annie Allix","Jim Moore","Jean Francois Heckel"
"230","Madagascar: Escape 2 Africa","Feature Film","Action & Adventure",89,"PG","Paramount Studios",2008,11,7,2009,2,6,6.7,137405,"Fresh",64,"Upright",66,"no","no","no","no","no","no","Tom McGrath","Ben Stiller","Chris Rock","David Schwimmer","Jada Pinkett Smith","Sacha Baron Cohen"
"231","Failure to Launch","Feature Film","Drama",97,"PG-13","Paramount Pictures",2006,3,10,2006,6,27,5.6,56361,"Rotten",24,"Spilled",52,"no","no","yes","no","no","no","Tom Dey","Matthew McConaughey","Sarah Jessica Parker","Zooey Deschanel","Justin Bartha","Bradley Cooper"
"232","London to Brighton","Feature Film","Mystery & Suspense",85,"R","Outsider Films",2008,2,8,2005,3,15,7,7244,"Fresh",67,"Upright",75,"no","no","no","no","no","no","Paul Andrew Williams","Lorraine Stanley","Georgia Groome","Johnny Harris","Nathan Constance","Sam Spruell"
"233","A Stranger Among Us","Feature Film","Drama",110,"PG-13","Buena Vista Pictures",1992,1,1,2003,6,3,5.7,2701,"Rotten",23,"Spilled",40,"no","no","no","no","no","no","Sidney Lumet","Melanie Griffith","Eric Thal","John Pankow","Tracy Pollan","Lee Richardson"
"234","Van Wilder: The Rise of Taj (Van Wilder 2)","Feature Film","Comedy",97,"R","MGM",2006,12,1,2007,3,27,4.8,18712,"Rotten",7,"Spilled",38,"no","no","no","no","no","no","Mort Nathan","Kal Penn","Lauren Cohan","Dan Percival","Daniel Percival","Glen Barry"
"235","The Human Stain","Feature Film","Mystery & Suspense",106,"R","Miramax Films",2003,10,21,2004,7,20,6.3,25054,"Rotten",43,"Spilled",49,"no","no","yes","yes","yes","no","Robert Benton","Anthony Hopkins","Nicole Kidman","Ed Harris","Gary Sinise","Wentworth Miller"
"236","Woo","Feature Film","Comedy",84,"R","New Line Home Entertainment",1998,5,8,2004,1,13,3.8,1510,"Rotten",10,"Upright",63,"no","no","no","no","no","no","Tommy Davidson","Jada Pinkett Smith","Tommy Davidson","Girlina","Dave Chappelle","Paula Jai Parker"
"237","The Black Stallion","Feature Film","Action & Adventure",118,"G","Twentieth Century Fox Home Entertainment",1979,10,17,1997,9,10,7.4,8544,"Fresh",88,"Upright",83,"no","no","no","no","no","no","Carroll Ballard","Kelly Reno","Mickey Rooney","Teri Garr","Clarence Muse","Hoyt Axton"
"238","Savior","Feature Film","Drama",103,"R","Sony Pictures Home Entertainment",1998,11,20,1999,4,20,7.3,8561,"Rotten",56,"Upright",81,"no","no","no","no","no","no","Predrag Antonijevic","Dennis Quaid","Nastassja Kinski","Natasa Ninkovic","Sergej Trifunovic","Nebojsa Glogovac"
"239","Project X","Feature Film","Drama",88,"R","Warner Bros. Pictures",2012,3,2,2012,6,19,6.7,151934,"Rotten",28,"Upright",61,"no","no","no","no","no","no","Jonathan Kaplan","Thomas Mann","Oliver Cooper","Dax Flame","Kirby Bliss Blanton","Jonathan Brown"
"240","Bottle Rocket","Feature Film","Drama",91,"R","Columbia Pictures",1996,2,23,1998,12,22,7.1,52449,"Certified Fresh",85,"Upright",80,"no","no","no","no","no","no","Wes Anderson","Owen Wilson","Luke Wilson","Robert Musgrave","Ned Dowd","James Caan"
"241","At First Sight","Feature Film","Drama",128,"PG-13","MGM",1999,1,15,1999,4,27,5.9,11001,"Rotten",32,"Spilled",46,"no","no","no","no","no","no","Irwin Winkler","Val Kilmer","Mira Sorvino","Kelly McGillis","Steven Weber","Bruce Davison"
"242","Session 9","Feature Film","Drama",100,"R","USA Films",2001,8,10,2002,2,26,6.5,42613,"Fresh",63,"Upright",64,"no","no","no","no","no","no","Brad Anderson","David Caruso","Stephen Gevedon","Paul Guilfoyle","Josh Lucas","Peter Mullan"
"243","Liz & Dick","TV Movie","Drama",88,"Unrated","E1 Entertainment",2012,1,1,2013,5,14,4.1,3505,"Rotten",33,"Spilled",19,"no","no","no","no","no","no","Lloyd Kramer","Lindsay Lohan","Grant  Bowler","Theresa Russell","David Hunt","Bruce Nozick"
"244","The Devil's Rejects","Feature Film","Horror",107,"R","Lions Gate Films",2005,7,22,2005,11,7,6.9,74294,"Rotten",53,"Upright",78,"no","no","no","no","no","no","Rob Zombie","Sid Haig","Bill Moseley","William Forsythe","Ken Foree","Matthew McGrory"
"245","Surviving Progress","Documentary","Documentary",86,"G","First Run Features",2012,4,6,2012,9,25,7.5,1480,"Fresh",75,"Upright",80,"no","no","no","no","no","no","Mathieu Roy","Enio Beata","Colin Beavan","Jane Goodall","Margaret Atwood","Robert Wright"
"246","The Squeeze","Feature Film","Action & Adventure",101,"PG-13","HBO Video",1987,7,10,NA,NA,NA,4.5,703,"Rotten",17,"Spilled",33,"no","no","no","no","no","no","Roger Young","Michael Keaton","Rae Dawn Chong","Meat Loaf","John Davidson","Ric Abernathy"
"247","Kindergarten Cop","Feature Film","Action & Adventure",111,"PG-13","MCA Universal Home Video",1990,12,21,1998,1,20,6,103789,"Rotten",51,"Spilled",51,"no","no","no","no","no","no","Ivan Reitman","Arnold Schwarzenegger","Penelope Ann Miller","Pamela Reed","Linda Hunt","Richard Tyson"
"248","Cypher","Feature Film","Action & Adventure",95,"R","Miramax",2002,10,7,2005,8,2,6.8,26731,"Rotten",58,"Upright",65,"no","no","no","no","no","no","Vincenzo Natali","Jeremy Northam","Lucy Liu","Nigel Bennett","Timothy Webber","David Hewlett"
"249","Love and Death","Feature Film","Drama",85,"PG","United Artists",1975,6,10,2000,7,5,7.8,26628,"Fresh",100,"Upright",90,"no","no","no","yes","yes","no","Woody Allen","Woody Allen","Diane Keaton","Harold Gould","Despo Diamantidou","Edmond Ardisson"
"250","Happy Gilmore","Feature Film","Comedy",92,"PG-13","MCA Universal Home Video",1996,2,16,1998,2,24,7,149437,"Fresh",60,"Upright",85,"no","no","no","no","no","no","Dennis Dugan","Adam Sandler","Christopher McDonald","Julie Bowen","Frances Bay","Carl Weathers"
"251","Catch a Fire","Feature Film","Drama",101,"PG-13","Focus Features",2006,10,27,2007,1,30,6.7,9291,"Certified Fresh",76,"Upright",71,"no","no","no","no","no","no","Phillip Noyce","Tim Robbins","Derek Luke","Bonnie Henna","Mncedisi Shabangu","Tumisho K. Masha"
"252","Run Lola Run","Feature Film","Drama",81,"R","Sony Pictures Classics",1999,6,18,1999,12,21,7.8,157701,"Certified Fresh",93,"Upright",90,"no","no","no","no","no","no","Tom Tykwer","Franka Potente","Moritz Bleibtreu","Herbert Knaup","Nina Petri","Armin Rohde"
"253","Funny Farm","Feature Film","Comedy",101,"PG","Warner Home Video",1988,6,3,1999,5,18,6.1,14901,"Fresh",67,"Spilled",50,"no","no","no","no","yes","no","George Roy Hill","Chevy Chase","Madolyn Smith Osborne","Kevin O'Morrison","Joseph Maher","Jack Gilpin"
"254","Winter Kills","Feature Film","Mystery & Suspense",97,"R","AVCO Embassy Pictures",1977,1,1,2003,3,18,6.4,1361,"Fresh",86,"Spilled",51,"no","no","yes","no","no","no","William Richert","Jeff Bridges","John Huston","Anthony Perkins","Eli Wallach","Sterling Hayden"
"255","Waking Life","Feature Film","Drama",99,"R","Fox Searchlight",2001,1,19,2002,5,7,7.8,47065,"Certified Fresh",80,"Upright",87,"no","no","no","no","no","no","Richard Linklater","Lorelei Linklater","Trevor Jack Brooks","Glover Gill","Timothy 'Speed' Levitch","Laura Hicks"
"256","An Ideal Husband","Feature Film","Comedy",97,"PG-13","Miramax Films",1999,6,18,2000,1,18,6.9,12606,"Certified Fresh",85,"Upright",69,"no","no","no","yes","no","no","Oliver Parker","Rupert Everett","Julianne Moore","Jeremy Northam","Cate Blanchett","Minnie Driver"
"257","Being John Malkovich","Feature Film","Drama",112,"R","Gramercy Pictures",1999,10,29,2000,5,2,7.8,246587,"Certified Fresh",93,"Upright",87,"no","no","no","no","no","no","Spike Jonze","John Cusack","Cameron Diaz","Catherine Keener","John Malkovich","Orson Bean"
"258","Secondhand Lions","Feature Film","Drama",111,"PG","New Line Cinema",2003,9,19,2004,2,3,7.6,42208,"Rotten",59,"Upright",84,"no","no","yes","no","no","no","Tim McCanlies","Michael Caine","Robert Duvall","Haley Joel Osment","Kyra Sedgwick","Nicky Katt"
"259","Politiki Kouzina (A Touch of Spice)","Feature Film","Drama",108,"Unrated","Brainstorm Media",2003,10,24,2010,1,26,7.6,9216,"Rotten",31,"Upright",86,"no","no","no","no","no","no","Tassos Boulmetis","Georges Corraface","Ieroklis Michaelidis","Ieroklis Mihailidis","Renia Louizidou","Basak Koklukaya"
"260","Hellboy II: The Golden Army (Hellboy 2)","Feature Film","Action & Adventure",120,"PG-13","Universal Pictures",2008,6,28,2008,11,11,7,201787,"Certified Fresh",85,"Upright",71,"no","no","no","no","no","no","Guillermo del Toro","Ron Perlman","Selma Blair","Jeffrey Tambor","Luke Goss","John Alexander"
"261","The Return of the Pink Panther","Feature Film","Mystery & Suspense",113,"G","United Artists",1975,5,21,2001,3,20,7.1,19000,"Fresh",89,"Upright",82,"no","no","no","no","no","no","Blake Edwards","Peter Sellers","Christopher Plummer","Catherine Schell","Herbert Lom","Peter Arne"
"262","Love the Beast","Documentary","Documentary",92,"R","Madman Entertainment",2009,3,12,2010,7,13,7.5,1799,"Fresh",61,"Upright",72,"no","no","no","no","no","no","Eric Bana","Eric Bana","Jay Leno","Phil McGraw","Jeremy Clarkson","Barry Oliver"
"263","200 Cigarettes","Feature Film","Drama",101,"R","Paramount Pictures",1999,2,26,1999,8,31,5.9,12877,"Rotten",28,"Spilled",59,"no","no","no","no","no","no","Risa Bramon Garcia","Ben Affleck","Martha Plimpton","Paul Rudd","Janeane Garofalo","Courtney Love"
"264","The Wild Geese","Feature Film","Drama",134,"R","Tango Entertainment",1978,11,11,2005,9,27,6.8,9025,"Fresh",60,"Upright",76,"no","no","no","no","no","no","Andrew V. McLaglen","Richard Burton","Richard Harris","Roger Moore","Hardy Kruger","Stewart Granger"
"265","The Slumber Party Massacre","Feature Film","Horror",77,"R","New Concorde Home Entertainment",1982,11,12,2000,8,29,5.7,5985,"Rotten",36,"Spilled",45,"no","no","no","no","no","no","Amy Holden Jones","Michele Michaels","Robin Stille","Michael Villela","Andre Honore","Joe Dante"
"266","No Mercy","Feature Film","Drama",106,"R","Sony Pictures Home Entertainment",1986,12,19,2001,3,6,5.6,4970,"Rotten",21,"Spilled",29,"no","no","no","no","no","no","Richard Pearce","Richard Gere","Kim Basinger","Jeroen Krabbe","George Dzundza","Gary Basaraba"
"267","Good Boy!","Feature Film","Comedy",87,"PG","MGM",2003,10,10,2004,3,2,5.1,3336,"Rotten",44,"Spilled",40,"no","no","no","no","no","no","John Robert Hoffman","Liam Aiken","Molly Shannon","Kevin Nealon","Brittany Moldowan","George Touliatos"
"268","Speed","Feature Film","Mystery & Suspense",116,"R","20th Century Fox",1994,6,10,1998,11,3,7.2,252661,"Certified Fresh",93,"Upright",76,"no","no","no","yes","no","no","Jan de Bont","Keanu Reeves","Dennis Hopper","Sandra Bullock","Joe Morton","Jeff Daniels"
"269","Me and You and Everyone We Know","Feature Film","Drama",91,"R","IFC Films",2005,6,24,2005,10,11,7.4,30641,"Certified Fresh",81,"Upright",84,"no","no","no","no","no","no","Miranda July","John Hawkes","Miranda July","Miles Thompson","Brandon Ratcliff","Carlie Westerman"
"270","Henry: Portrait of a Serial Killer","Feature Film","Drama",83,"NC-17","GreyCat Films",1986,9,24,1998,11,17,7,22601,"Certified Fresh",86,"Upright",71,"no","no","no","no","no","no","John McNaughton","Michael Rooker","Tom Towles","Tracy Arnold","Tracey Arnold","Mary Demas"
"271","Someone to Watch over Me","Feature Film","Drama",106,"R","Sony Pictures Home Entertainment",1987,10,9,2001,8,28,6.1,7076,"Fresh",76,"Spilled",42,"no","no","no","no","no","no","Ridley Scott","Tom Berenger","Mimi Rogers","Lorraine Bracco","Jerry Orbach","John Rubinstein"
"272","28 Days Later","Feature Film","Science Fiction & Fantasy",113,"R","Fox Searchlight Pictures",2003,6,27,2003,10,21,7.6,285328,"Certified Fresh",87,"Upright",85,"no","no","no","no","yes","no","Danny Boyle","Cillian Murphy","Naomie Harris","Brendan Gleeson","Megan Burns","Christopher Eccleston"
"273","Normal","TV Movie","Drama",110,"Unrated","Bankside Films",2003,1,21,2003,10,7,7.3,2598,"Fresh",100,"Upright",75,"no","no","no","yes","no","no","Jane Anderson","Tom Wilkinson","Jessica Lange","Randall Arney","Hayden Panettiere","Joe Sikora"
"274","Winter's Bone","Feature Film","Drama",100,"R","Roadside Attractions",2010,6,11,2010,10,26,7.2,108598,"Certified Fresh",94,"Upright",76,"yes","no","no","yes","no","no","Debra Granik","Jennifer Lawrence","John Hawkes","Kevin Breznahan","Dale Dickey","Garret Dillahunt"
"275","Your Sister's Sister","Feature Film","Drama",90,"R","IFC Films",2012,6,15,2012,11,6,6.7,20655,"Certified Fresh",83,"Upright",66,"no","no","no","no","no","no","Lynn Shelton","Emily Blunt","Rosemarie DeWitt","Mark Duplass","Mike Birbiglia","Mike Harring"
"276","Sleepover","Feature Film","Comedy",89,"PG","MGM",2004,7,9,2004,11,23,5.3,12322,"Rotten",15,"Spilled",55,"no","no","no","no","no","no","Joe Nussbaum","Alexa Vega","Mika Boorem","Jane Lynch","Sam Huntington","Kalli Flynn Childress"
"277","The Kingdom","Feature Film","Drama",110,"R","Universal Pictures",2007,9,28,2007,12,23,7.1,99192,"Rotten",51,"Upright",76,"no","no","yes","no","no","no","Peter Berg","Jamie Foxx","Chris Cooper","Jennifer Garner","Jason Bateman","Ashraf Barhom"
"278","House on Haunted Hill","Feature Film","Mystery & Suspense",93,"R","Warner Home Video",1999,10,29,2000,4,18,5.6,44257,"Rotten",28,"Spilled",42,"no","no","yes","no","no","no","William Malone","Geoffrey Rush","Famke Janssen","Taye Diggs","Peter Gallagher","Ali Larter"
"279","Patch Adams","Feature Film","Drama",115,"PG-13","Universal Studios",1998,12,25,1999,6,22,6.7,77762,"Rotten",22,"Upright",74,"no","no","yes","no","no","no","Tom Shadyac","Robin Williams","Daniel London","Monica Potter","Philip Seymour Hoffman","Bob Gunton"
"280","Harry Potter and the Chamber of Secrets","Feature Film","Science Fiction & Fantasy",161,"PG","Warner Bros. Pictures",2002,11,15,2003,4,11,7.4,368799,"Certified Fresh",82,"Upright",79,"no","no","no","no","no","yes","Chris Columbus","Daniel Radcliffe","Emma Watson","Rupert Grint","Jason Isaacs","Alan Rickman"
"281","The Heavenly Kid","Feature Film","Drama",90,"PG-13","Orion",1985,7,26,2005,11,15,6.2,2830,"Rotten",25,"Upright",64,"no","no","no","no","no","no","Cary Medoway","Lewis Smith","Richard Mulligan","Jason Gedrick","Jane Kaczmarek","Mark Metcalf"
"282","Apollo 18","Feature Film","Science Fiction & Fantasy",86,"PG-13","The Weinstein Company",2011,9,2,2011,12,27,5.2,46233,"Rotten",24,"Spilled",23,"no","no","no","no","no","no","Gonzalo Lopez-Gallego","Warren Christie","Lloyd Owen","Ryan Robbins","Michael Kopsa","Andrew Airlie"
"283","Hoodlum","Feature Film","Drama",130,"R","905 Corporation",1997,8,27,2001,5,15,6.2,8016,"Rotten",45,"Upright",66,"no","no","no","no","no","no","Bill Duke","Laurence Fishburne","Tim Roth","Vanessa L. Williams","Andy Garcia","Cicely Tyson"
"284","National Security","Feature Film","Drama",88,"PG-13","Sony Pictures",2003,1,17,2003,5,27,5.6,37938,"Rotten",11,"Spilled",45,"no","no","no","no","no","no","Dennis Dugan","Martin Lawrence","Steve Zahn","Colm Feore","Bill Duke","Eric Roberts"
"285","Young Adult","Feature Film","Drama",94,"R","Paramount Studios",2011,12,16,2012,3,13,6.3,63219,"Certified Fresh",80,"Spilled",49,"no","no","no","yes","no","no","Jason Reitman","Charlize Theron","Patton Oswalt","Patrick Wilson","Elizabeth Reaser","Collette Wolfe"
"286","The Man Who Sued God","Feature Film","Drama",97,"R",NA,2001,10,25,2007,3,13,6.5,4251,"Fresh",71,"Spilled",59,"no","no","no","no","no","no","Mark Joffe","Billy Connolly","Judy Davis","Colin Friels","Bille Brown","Wendy Hughes"
"287","Compliance","Feature Film","Drama",90,"R","Magnolia Pictures",2012,8,17,2013,1,8,6.4,23697,"Certified Fresh",89,"Upright",60,"no","no","no","no","no","no","Craig Zobel","Ann Dowd","Dreama Walker","Pat Healy","Bill Camp","Philip Ettinger"
"288","I Spit On Your Grave","Feature Film","Horror",108,"R","Anchor Bay Films",2010,10,8,2011,2,8,6.3,53675,"Rotten",34,"Spilled",48,"no","no","no","no","no","no","Steven R. Monroe","Sarah Butler","Jeff Branson","Andrew Howard","Daniel Franzese","Rodney Eastman"
"289","Maniac","Feature Film","Drama",87,"R","Analysis",1980,1,1,1998,6,30,6.5,9787,"Rotten",43,"Spilled",58,"no","no","no","no","no","no","William Lustig","Joe Spinell","Caroline Munro","Gail Lawrence","Kelly Piper","Rita Montone"
"290","Dog Park","Feature Film","Comedy",91,"R","New Line Home Entertainment",1998,6,1,2004,3,2,5.1,1978,"Rotten",36,"Spilled",28,"no","no","no","no","no","no","Bruce McCulloch","Natasha Henstridge","Janeane Garofalo","Luke Wilson","Kathleen Robertson","Bruce McCulloch"
"291","The Brothers Solomon","Feature Film","Comedy",93,"R","Screen Gems",2007,9,7,2007,12,26,5.3,9370,"Rotten",15,"Spilled",31,"no","no","no","no","no","no","Bob Odenkirk","Will Arnett","Will Forte","Chi McBride","Kristen Wiig","Malin Akerman"
"292","Maurice","Feature Film","Drama",140,"R","Lorimar Home Video",1987,9,1,2004,2,24,7.8,10380,"Fresh",91,"Upright",87,"no","no","no","no","no","no","James Ivory","James Wilby","Hugh Grant","Rupert Graves","Denholm Elliott","Simon Callow"
"293","The Last Boy Scout","Feature Film","Drama",105,"R","Warner Home Video",1991,12,13,1998,5,26,6.9,73280,"Rotten",42,"Upright",68,"no","no","no","no","no","no","Tony Scott","Bruce Willis","Damon Wayans","Chelsea Field","Noble Willingham","Taylor Negron"
